Title,Category,Type,Description,Application,Reference 
.lit, eBook Files, Literate Haskell Script, Electronic version of a book or other publication saved in the Microsoft LIT format; includes digital rights management (DRM) information. which protects copyrights by limiting the systems each book can be read on., BookDesigner|WinHugs|Hugs|Hugs|Lit Python Compiler|Lit Python Compiler|Lit Python Compiler, https://fileinfo.com//extension/lit
.alx, Settings Files, Alpha Five Library Index File, File used by BlackBerry Desktop Manager. a program used for synchronizing and managing data for BlackBerry mobile devices; contains XML application description data. including name. ID. description. loader version. vendor. copyright. language. and file set; used for loading applications onto a BlackBerry smartphone., Microsoft ActiveX Control Pad, https://fileinfo.com//extension/alx
.asx, Video Files, Alpha Five Library Temporary Index File, Multimedia playlist or shortcut to an audio/video file (often an .ASF file); references one or more URLs that point to the locations of the audio and video files; used for storing multimedia playlists., Ventis Media MediaMonkey, https://fileinfo.com//extension/asx
.ctsym, Developer Files, Visual Studio Command Table Output File, File created by Microsoft Visual Studio. a Windows platform SDK; contains compiled configuration data from a .CTC file for a VSPackage command set; resource for managed VSPackage code. native. or managed satellite DLL file; connected to a .CTO file. mirroring contents and file name., Empty, https://fileinfo.com//extension/ctsym
.dbo, Developer Files, DarkBASIC Object, Program object created with DarkBASIC Pro. a development program for creating 3D games. slideshows. and other applications; developed using the BASIC programming language; may include game levels. 3D models. textures. and other related data., Empty, https://fileinfo.com//extension/dbo
.dcu, Developer Files, Delphi Compiled Unit," Compiled unit (.PAS) file; typically has the same name as the source code file. i.e. ""source.dcu"" is the compiled version of ""source.pas.""", Empty, https://fileinfo.com//extension/dcu
.slogt, Developer Files, StarLogo Project Template, Project template format used by StarLogo. a modeling and simulation program used for teaching programming principles in educational environments; enables multiple projects (.SLOGO files) to be created from the same starting point., OpenStarLogo, https://fileinfo.com//extension/slogt
.art, CAD Files, Artifacts Artifact File, CAD model created by ArtCAM. a CNC (computer numerical control) program used for artistic design and manufacturing; saves a 2D or 3D model as well as instructions for a machine to cut or engrave the design; used for signs. woodworking. engraving. and jewelry., BERNINA ArtLink, https://fileinfo.com//extension/art
.groovy, Developer Files, Groovy Source Code File, FIle containing source code written in Groovy format. a programming language similar to Java; object-oriented programming language. which is helpful for designing applications and programs; easily integrates into the Java platform., Empty, https://fileinfo.com//extension/groovy
.wixproj, Developer Files, WiX Project File, File created by the WiX toolset. a Windows installer development program; contains elements such as <Configuration>. <ProductVersion>. <OutputName>. and <OutputPath> necessary to create a .MSI (Windows Installer package) file using the WiX Toolset., Empty, https://fileinfo.com//extension/wixproj
.meml, Developer Files, Minimalist Lisp Markup Language File, An MEML file contains Minimalist Lisp Markup Language (MEML). which is a language similar to HTML but more abbreviated.  It is used to structure the page layout and content of a webpage. similar to an .HTML file.  MEML files are saved in a standard text format with Lisp-like syntax that is meant to reduce the number of lines of code., MEML|Microsoft Visual Studio Code|MEML|Microsoft Visual Studio Code|MEML|Microsoft Visual Studio Code, https://fileinfo.com//extension/meml
.kct, Developer Files, Keyman Developer Customization Source File, A KCT file is a source file created by Keyman Developer. a program used to create. edit. and distribute digital keyboards for any type of language.  It contains information about the user interface of a custom keyboard. which includes text. configuration windows. and welcome screens., Tavultesoft Keyman Developer, https://fileinfo.com//extension/kct
.rb, Developer Files, Real Studio Project, Software program written in Ruby. an object-oriented scripting language; designed to be simple. efficient. and easy to read; can be edited with a text editor and run using Ruby., JRuby|MacRuby|JRuby, https://fileinfo.com//extension/rb
.developerprofile, Developer Files, Xcode Developer Profile, File created by Xcode. a program used for developing iOS and Mac OS X applications; stores the developer's profile and is password protected and signed with a private key; used for migrating a profile from one computer to another., Empty, https://fileinfo.com//extension/developerprofile
.gls, Data Files, GLScript Game Script, Glossary text file created by Babylon Glossary Builder. a program used to create Babylon glossaries; contains terms and their definitions in a proprietary text format; may also store alternates for each term; used to build .BGL binary glossary files., SourceTec Sothink SWF Easy|SourceTec Sothink SWF Quicker, https://fileinfo.com//extension/gls
.exl, Data Files, JSDAI Inclusion or Exclusion List, File used by Export Notes. a program used to convert Lotus Notes databases to Microsoft Outlook mailboxes; contains a list of .NSF Lotus Notes files created using the Export Lister tool. which is included with some versions of Export Notes; used for storing a list of files to convert., JSDAI|JSDAI|JSDAI, https://fileinfo.com//extension/exl
.wid, Data Files, Visual Studio Widget File, Data file created by SAP BusinessObjects. a business analytics application used for studying competitive intelligence. profits. and customer relationships; saves a collection of data and reports that are the result of analysis conducted in the software; used for storing business intelligence analyses., Empty, https://fileinfo.com//extension/wid
.tu, Developer Files, Turing Source File, Program file that contains source code written in the Turing programming language; used primarily for educational purposes; can be edited. compiled. and run using Turing software., Empty, https://fileinfo.com//extension/tu
.ipp, Developer Files, Inline Guard Macro File, C++ source code file that contains inline functions for a program; wraps functions with a macro that can include or exclude the functions when running a program; used to turn off inlining functions during the debugging process. and turn them back on again for production code., Eclipse IDE for C Developers|Eclipse IDE for C Developers|Eclipse IDE for C Developers, https://fileinfo.com//extension/ipp
.gmd, Game Files, Game Maker Program Code, A GMD file contains information about how text is displayed in Nintendo 3DS games.  It stores information about dialogs that appear during the game. such as the actual text and the appearance of the dialog., ARCTool|Kuriimu|Infacta GroupMail, https://fileinfo.com//extension/gmd
.lit, eBook Files, Lit Source Code File, Electronic version of a book or other publication saved in the Microsoft LIT format; includes digital rights management (DRM) information. which protects copyrights by limiting the systems each book can be read on., BookDesigner|WinHugs|Hugs|Hugs|Lit Python Compiler|Lit Python Compiler|Lit Python Compiler, https://fileinfo.com//extension/lit
.gpj, Developer Files, jGRASP Project File, File created by MULTI IDE. an IDE used for developing and testing embedded applications; similar to a Makefile and maintains project dependencies and build options; can be managed in the MULTI Project Builder program included in the MULTI IDE software package., Green Hills MULTI IDE|Golden Software Grapher|jGRASP|jGRASP|jGRASP, https://fileinfo.com//extension/gpj
.pbproj, Developer Files, Project Builder Project, Development project file created with Project Builder. an IDE originally developed by NeXT but then expanded by Apple for developing Mac OS X applications; used as an older format and is not compatible with Apple's subsequent software development IDE. Xcode., Empty, https://fileinfo.com//extension/pbproj
.sublime-build, Developer Files, Sublime Text Build File, Build file used by Sublime Text. an open source text editor used primarily to edit source code; contains a build system. which includes JSON formatted configuration data. a Sublime Text command that drives the process. and an optional. external executable file., Empty, https://fileinfo.com//extension/sublime-build
.osc, GIS Files, Obix Source Code File, Street map data file created in the OpenStreetMap Change (OSC) format; contains modification data for an existing .OSM street map; enables a central or existing street map to be updated with new data., osmchange|osmchange|Obix|Obix, https://fileinfo.com//extension/osc
.ascs, Developer Files, ActionScript Communication Server File, File created by Adobe Device Central. a program used for testing and deploying Flash games and other content to mobile devices; contains code written in ActionScript for Flash Communication server; used for developing live or streamed content within deployed applications., Adobe Device Central CS5.5|Adobe Device Central CS5.5, https://fileinfo.com//extension/ascs
.jpx, Raster Image Files, JBuilder Project, Formal extension used for JPEG 2000 files; JPEG 2000 is an improvement to the standard .JPEG format that compresses image files using lossy or lossless compression., Adobe Photoshop Elements 2020|IvanView|ToyViewer|Adobe Photoshop Elements 2020|Embarcadero JBuilder, https://fileinfo.com//extension/jpx
.sjava, Developer Files, Synchronous Java File, Source code file that can be compiled by SJavaC. a Java compiler that extends the Java 1.4 specification to support synchronous active objects; contains standard Java source code as well as synchronous active objects. which define threaded processing and locking behaviors., Empty, https://fileinfo.com//extension/sjava
.mode1v3, Developer Files, Xcode Project Data File," File used by Xcode. a Mac OS X software development application; automatically generated by Xcode to maintain the user's ""perspective"" of the application when multiple users use the same project; stores user-specific settings. such as the position of the project window and which groups are open and closed.", Empty, https://fileinfo.com//extension/mode1v3
.tiprogram, Developer Files, TI-Basic Program File, File used by Texas Instruments graphing calculators; contains source code written in the TI-Basic programming language; used to store and execute programs on a calculator., Empty, https://fileinfo.com//extension/tiprogram
.tpx, GIS Files, Turbo Pascal 7 Unit, Project file created by DeLorme Topo North America. a mapping software product; saves a map and may include aerial imagery. points of interest. and other mapping information; can be packaged into a .DMT file for sharing with other Topo NA users., DeLorme Topo North America, https://fileinfo.com//extension/tpx
.kps, Developer Files, Keyman Developer Package Source File, A KPS file contains package information and is created by Keyman Developer. a program used to create. edit. and distribute digital keyboards.  It stores information that specifies which files should be included in the package when compiled into a KMP Keyman package file., Tavultesoft Keyman Developer, https://fileinfo.com//extension/kps
.xojo_binary_window, Developer Files, Xojo Binary Window File, Window file created by Xojo. an IDE used to create applications; used to share a window in the Xojo binary format between Xojo projects; includes information that describes parts of the window. such as frame type. buttons. and custom backdrops; replaced the .RBW file extension., Empty, https://fileinfo.com//extension/xojo_binary_window
.daconfig, Developer Files, RemObjects Data Abstract Configuration File, Developer file used by the RemObjects SDK. a collection of programs used to build RemObjects middle-tier applications; used by Data Abstract server applications and contains the configuration for how to access data from a providing database. such as an RDBMS (relational database management system)., RemObjects SDK|RemObjects Data Abstract, https://fileinfo.com//extension/daconfig
.toml, Developer Files, TOML Configuration File, A TOML file is a configuration file saved in the open source TOML (Tom's Obvious. Minimal Language) file format.  It is used to configure the parameters and settings of various software projects.  TOML files contain configuration information in key-value pairs and are meant to be more readable than .JSON files and simpler than .YAML files., Empty, https://fileinfo.com//extension/toml
.r, Developer Files, Ratfor Source Code File, An R file is a script written in R. a programming language used for statistical analysis and graphing purposes.  It contains code that can be executed within the R software environment.  R files may include commands that create objects (functions. values. etc.) and produce visualizations of the computed data., Ratfor|Ratfor|Ratfor, https://fileinfo.com//extension/r
.qx, Developer Files, Quexal Source Code, Source code for a Quexal program; can incorporate MMX / iSSE instructions; used mainly for multimedia applications., Quexal, https://fileinfo.com//extension/qx
.vsixmanifest, Developer Files, VSIX Manifest, File created by Microsoft Visual Studio. a SDK for the Windows system; contains metadata about the .VSIX file it resides in., Empty, https://fileinfo.com//extension/vsixmanifest
.rbm, Developer Files, Real Studio Menu File, Menu file created by Xojo. a software development IDE; contains a menu bar for a desktop application that is being developed in the Xojo IDE; used to export a menu bar from one project to another; includes information describing the menu bar. such as menus. items. IDs. behaviors. platform-specific shortcuts. and appearance;  replaced by the .XOJO_BINARY_MENU. .XOJO_XML_MENU. and .XOJO_MENU file extensions., Empty, https://fileinfo.com//extension/rbm
.jdp, Developer Files, BlackBerry JDE Application Project, A JDP file is a project created by BlackBerry Java Development Environment (JDE) and the BlackBerry JDE plug-in for Eclipse. which are used to create and test Java apps for BlackBerry smartphones.  It contains information on how JDE should build the BlackBerry application including the resource files needed for the build.  JDP files also contain project properties. such as the application type., BlackBerry JDE|BlackBerry Plug-in for Eclipse|BlackBerry Plug-in for Eclipse, https://fileinfo.com//extension/jdp
.dfk, Developer Files, Dark Flow Project File, Game development project created with Dark Flow. an application used for developing multi-platform video games; contains source code. project settings. and references to resources used by the project. which can include sprites. sounds. backgrounds. paths. and other objects., Empty, https://fileinfo.com//extension/dfk
.r, Developer Files, REBOL Script, An R file is a script written in R. a programming language used for statistical analysis and graphing purposes.  It contains code that can be executed within the R software environment.  R files may include commands that create objects (functions. values. etc.) and produce visualizations of the computed data., Ratfor|Ratfor|Ratfor, https://fileinfo.com//extension/r
.jsh, Developer Files, Jsh Script, Script header file written for JAWS; a Windows screen reading application that provides text to speech functionality for Windows text; stores header information for a .JSS source file; used in the process of developing automated JAWS screen reading tasks., Freedom Scientific JAWS|Jsh|Jsh|Jsh, https://fileinfo.com//extension/jsh
.drf, 3D Image Files, Delphi Resource File, Discreet Render Format (DRF) file created by VIZ Render. a program included with older versions of Autodesk Architecture; saves a rendered image of buildings or other modeled structures; can be opened in 3ds Max. but can only be created by VIZ Render., Dynojet WinPEP, https://fileinfo.com//extension/drf
.hcf, Developer Files, Compact Ham Library, File used by the HAM Runtime. a program used for running .HAM and .EHAM executables; can store both HAM and EHAM files; may also contain an md5 checksum. developer information. and other program information., Empty, https://fileinfo.com//extension/hcf
.rdoc_options, Developer Files, Ruby Document Options File, File created by RDoc. a documentation application for Ruby projects; contains options. or settings. for generating documentation for your Ruby project; includes the comment format. character-set. excluded files. and output directory; included with your .GEM package., RDoc|RDoc|RDoc, https://fileinfo.com//extension/rdoc_options
.clp, Data Files, Clipper Compiler Instructions File, Motion clip created by CrazyTalk. a facial animation program used for synchronizing speech audio with facial movements; saves a short clip of a facial expression recorded in real-time; used for inserting pre-recorded facial movements in the animation timeline., Reallusion CrazyTalk|Reallusion CrazyTalk Animator, https://fileinfo.com//extension/clp
.cham, Developer Files, Compiled HAM File, File created by the Ham Programmer Toolkit. a a developer program used to create programs for the HAM runtime; saves a compiled .HAM file in an encrypted format with a password and a digital signature. which protects the developer's code., Empty, https://fileinfo.com//extension/cham
.eth, Developer Files, Ether Source Code File, An ETH file contains Ether source code. which is a low-level. general-purpose programming language developed to improve upon the C programming language.  It stores source in plain text. which may be opened with any text editor. including GNU Emacs., Empty, https://fileinfo.com//extension/eth
.dis, Spreadsheet Files, DisSharp Project File, File created by Oracle Discoverer. a spreadsheet program; stores a workbook. which may be comprised of multiple populated spreadsheets. called worksheets; used for business intelligence reporting and analysis., Oracle Discoverer|Oracle Discoverer|NETdecompiler.com DisSharp, https://fileinfo.com//extension/dis
.rbvcp, Developer Files, Real Studio Version Controlled Project, Software development project created by Xojo. a crossplatform software development IDE; similar to an .RBP file but also saves version control information that can be used for reverting the project back to a previous revision., Empty, https://fileinfo.com//extension/rbvcp
.a , The GCC Team, C/C++ Static Library File, A C/C++ static library file is used by integrated development environment (IDE) kits that were developed with a set of integrated functionalities which can be used to develop C/C++ applications. The built-in functions and procedural systems required by these C/C++ application development projects need to reference the data stored in these C/C++ static library files. The content of a C/C++ static library file includes source code pertaining to certain application functionalities and information headers that are used as reference data by the associated C/C++ application development project and the C/C++ integrated development environment kit. The data stored in a C/C++ static library file is integrated with source code compilation standards and implemented with data encoding specifications used to store data in the A file format. These C/C++ static library files are appended with the .a extension., Microsoft Visual Studio|gVim|Microsoft Notepad, https://www.reviversoft.com/file-extensions/a
.a2m , AdLib, Module File, The A2M file extension is a data file format associated to AdLib Tracker 2 program used for tracking audio. The A2M file extension and Adlib Tracker 2 software were developed by AdLib. These files are sound modules or song formats that contain multiple tracks and musical scores with play back sound samples. The software is used for the OPL3 FM-chip soundblaster cards supported with four operator instruments vast selection of importable song percussion mode and advanced macro editor. Adlib Tracker 2 is a DOS based program but it can be opened with Nullsoft Winamp Media Player 5.6 with AdPlug plugin in Microsoft Windows-based systems. Aside from A2M format the software can also load A2P A2T AMD DFM and other song formats. To ensure the effectiveness of the software the computer must handle ISA (Industry Standard Architecture) cards and install a TMT Pascal Lite v3.90 or TASM v5.00., AdLib Visual Composer|Nullsoft Winamp Media Player 5.6 with AdPlug plugin, https://www.reviversoft.com/file-extensions/a2m
.a3l , Adobe Systems, Authorware 3 Library, The Authorware 3 software is a program developed for the creation of a wide variety of e-learning applications and this software uses the data stored in files with the .a3l extension. Also known as Authorware Library files and classified as data files these A3L files consist of objects embedded or integrated into application projects developed using the Authorware 3 program. These A3L files may also contain icons and sound clips inserted by users into their e-learning application projects. As data files the Authorware 3 application references the data stored in these A3L files when required by the user. Macromedia developed the Authorware 3 application up to version 7 before Adobe Systems acquired Macromedia. Users with Microsoft Windows-based systems and Mac platforms can install the Adobe Authorware 7 application to integrate support into their systems for these A3L files. These A3L files are created by the application when users enter objects into their Authorware application development projects., Adobe Authorware 7 for Microsoft Windows|Adobe Authorware 7 for Mac, https://www.reviversoft.com/file-extensions/a3l
.a3m , Adobe Systems, Authorware 3 Macintosh File, Files appended with the A3M extension are created and used by the Authorware 3 application a program from Macromedia that can provide users with functionalities for developing media-rich applications for the e-learning industry. These .a3m files are classified as data files because it contains data referenced by the Authorware 3 application specifically the version for Mac-based systems when a user requires access to the content of the associated Authorware development project stored in the A3M file and other related functionalities integrated into this software development program. A file in the .a3m extension refers to unpackaged Authorware development projects created using the Authorware 3 version for Mac which means that these are editable Authorware projects yet to be packaged indistributable or redistributable formats. Macromedia was acquired by Adobe Systems in the time Macromedia completed the development of the Authorware 7 software. This means users of Microsoft Windows-based systems or Mac platforms can install the Authorware 7 application to implement support into their systems for these A3M files.,,
Authorware 7 was the last version developed by Macromedia before Macromedia was acquired by Adobe Systems., Adobe Authorware 7 for Mac|Adobe Authorware 7 for Microsoft Windows, https://www.reviversoft.com/file-extensions/a3m,,,
.a3w , Adobe Systems, Authorware 3 Windows File, The Authorware 3 application can be used to develop e-learning applications integrated with media-rich content. This program was developed by Macromedia which was later acquired by Adobe Systems and this was when Macromedia already completed development for version 7 of the Authorware software. The Authorware 3 application uses files stored in the .a3w extension as an unpackaged Authorware development project output file for Microsoft Windows-based systems similar to files in the .a3m extension for Mac platforms. These A3W files are editable versions of Authorware 3 projects and are yet to be packaged and finalized for distribution. These A3M and A3W files can be shared with other users who have the Authorware 7 application installed in their Mac or Microsoft Windows-based systems making these file formats useful for groupware application development of Authorware 3 projects. These A3W files are classified as data files and are also referred to as Authorware 3 Windows files., Adobe Authorware 7 for Microsoft Windows|Adobe Authorware 7 for Mac, https://www.reviversoft.com/file-extensions/a3w
.a4l , Adobe Systems, Authorware 4 Library, The Authorware 4 software was developed by Macromedia to provide users with a program to create media-rich applications for e-learning and these Authorware 4 development projects usually consist of a large volume of elements and objects inserted into these Authorware projects. These objects and elements are stored in an Authorware 4 library file and these files are saved by the Authorware 4 application in the .a4l format. These elements and objects may include icons images formatted text and so on. The content of these A4L files are referenced and retrieved by the Authorware application when a user wants to access certain features and content integrated into the associated Authorware 4 project. For users to provide their Microsoft Windows-based systems with support for these A4L files the Authorware 7 program must be installed. The Authorware 7 software also provides Mac users with a compatible version for their systems. Macromedia developed Authorware 7 and older versions before Adobe Systems acquired Macromedia., Adobe Authorware 7 for Microsoft Windows|Adobe Authorware 7 for Mac, https://www.reviversoft.com/file-extensions/a4l
.a4m , Adobe Systems, Authorware 4 Macintosh File, Authorware application development projects of media-rich applications for e-learning industries can be saved in an unpackaged format for further development. The Authorware 4 application is a program that can be used to develop these e-learning applications and these media-rich projects can be for Microsoft Windows-based systems or for users of Mac platforms. These unpackaged Authorware 4 application development projects can be saved in files with the .a4m extension. An unpackaged Authorware 4 application development project saved in the .a4m format refers to project versions yet to be converted into distributable packages since certain functionalities and features still need to be completed or finalized. These A4M files also refer to unpackaged Authorware 4 projects developed for Mac-based platforms. Files in the .a4w extension on the other hand are unpackaged Authorware 4 projects developed for Microsoft Windows-based systems. Macromedia developed version 7 of the Authorware software before Adobe Systems acquired Macromedia. The Authorware 7 software can be installed in a Microsoft Windows-based system or in a Mac platform to integrate support for these A4M and A4W files., Adobe Authorware 7 for Mac|Adobe Authorware 7 for Microsoft Windows, https://www.reviversoft.com/file-extensions/a4m
.a4w , Adobe Systems, Authorware 4 Windows Files, Files stored in the .a4w extension are created and may be opened and edited using the Authorware 4 application as well as newer versions of this software. These A4W files contain unpackaged Authorware 4 projects developed for the Microsoft Windows environment. An unpackaged Authorware 4 project refers to application development projects created using the Authorware 4 program and these unpackaged A4W files are in editable versions since this also means these Authorware 4 application development projects have yet to be finalized. Users can install the Authorware 7 software into their computers to implement A4W support into their Microsoft Windows-based systems. Mac users can also integrate A4W support into their systems by installing the Authorware 7 program since this application also has a version for Mac-based platforms. The Authorware 4 program is used to develop applications with media-rich content for the e-learning environment. These A4W files contain elements and objects found in an Authorware 4 application development project and these pieces of data are referenced and retrieved by the Authorware 4 application and its newer versions when users need to access the content stored in these A4W files., Adobe Authorware 7 for Microsoft Windows|Adobe Authorware 7 for Mac, https://www.reviversoft.com/file-extensions/a4w
.a52 , Atari Inc., ROM File, The A52 file extension is a data file format associated to Atari 5200 ROM a game ROM used in video game console. The A52 file extension contains the saved game data or image file as stored in the game cartridge. ROMs are binary versions of your favorite classic games and they contain the actual code of the original cartridge. ROM is the game and it is run through by the emulator.  Windows emulator choices include kat5200 Atari800 and JUM52.  Mac emulators include Atari 800 Mac Rainbow  and Atari800MacX. The A52 file extension and Atari 5200 ROM were developed by Atari Inc and released in 1982. Files in A52 format can be opened with MacMESS for Mac users and MESS kat5200 and Rainbow 95 in Microsoft Windows-based systems. The Atari 5200 game console feature smaller game library and wide selection of games like Qix VanguardRobotron:2084 Space Dungeon Pengo Joust and Ms. Pac-Man., Rainbow 95, https://www.reviversoft.com/file-extensions/a52
.a5l , Adobe Systems, Authorware 5 Library, Controls integrated by a user into an Authorware 5 application output file are stored in files with the .a5l extension among other pieces of data such as icons and images. An Authorware 5 application output file is an application development project created by an Authorware 5 user and these are media-rich applications used for e-learning purposes. The Authorware 5 application is software that promotes the development of applications offering media-rich content used in e-learning environments. These applications can be distributed and packaged as online or offline e-learning tools and digital materials. The Authorware 5 application locates the associated A5L data file and references the content stored in the file whenever a user accesses the content of an application project developed using Authorware 5 and the retrieval of these stored elements and objects is also done by the Authorware 5 software when required. Users of Microsoft Windows-based systems can use version 5 or later of Authorware to implement support for these A5L files and version 7 of the Authorware application is widely used by a lot of Microsoft Windows users. Mac users can also use the Authorware 7 software to create these application development projects and integrate into their systems support for files in the .a5l extension., Adobe Authorware 7 for Microsoft Windows|Adobe Authorware 7 for Mac, https://www.reviversoft.com/file-extensions/a5l
.a5w , Alpha Software, Alpha Five Webpage File, Rapid Application Development software is a program designed to provide developers with an efficient means of creating Web applications compatible with widely used Web browsers for Microsoft Windows-based systems Mac environments Linux platforms and mobile OS versions. The Alpha 5 software is an example of a Rapid Application Development program and this software uses files with the .a5w extension. The A5W extension is used when saving an application developed using Alpha 5 as a program installed in a Web server. Upon installing these A5W files in a compatible Web server client-side applications for viewing content on the Internet such as Web browsers can be used to access the content and the functionalities programmed by users into the A5W application using the Alpha 5 software. Proprietary syntax called Alpha 5 developed by Alpha Software (also the developer of the Alpha 5 software) serves as a Web application syntax used in creating these A5W files and these Web applications are similar to Web software developed using PHP or ASP. These A5W Web applications may look like standard Web pages but with dynamic content like forms of different types. Web applications that can be created and saved in the A5W format using Alpha 5 can perform as well as desktop-based software., Alpha Software Alpha Five|Notepad2|Microsoft Notepad|Microsoft WordPad|Microsoft Word, https://www.reviversoft.com/file-extensions/a5w
.a65 , Adobe Systems, Authorware 6.5 File, Files with the .a65 extension are application development projects created using version 6.5 of the Authorware program and these A65 files are stored in an unpackaged format. This means these unpackaged Authorware 6.5 application development projects have yet to be completed and finalized in a distributable format. This also means files in the .a65 format can be opened and edited using the Authorware 6.5 program (or later versions). Macromedia developed the Authorware software until version 7 and Macromedia has been bought by Adobe Systems as of this writing. Installing the Authorware 7 software into a Microsoft Windows-based system will implement support for these A65 files and there is also a version of Authorware 7 that can be installed and used in Mac platforms. Since these A65 files are classified as data files these contain objects and elements entered by the creators of these files. These A65 files may also reference other associated files and retrieve objects stored in other files when required by the user., Adobe Authorware 7 for Microsoft Windows|Adobe Authorware 7 for Mac, https://www.reviversoft.com/file-extensions/a65
.aa , Audible Inc., Audiobook File, The AA file extension is a data file format associated to Audible Audio Book a spoken audio recording of Audible. The AA file extension and Audible Audio Book were developed by Audible. These files contain the digital audio clips of the audiobooks with Digital Rights Management encryption. The Audible Download Manager is in charge of downloading the AA files to the computer. AA file format are supported by several devices like Apple’s iPods Microsoft Zune Creative Zen Amazon Kindle and other. These files can be converted to MP3 WMA or MPEG format to ensure compatibility and portability with other devices. AA files can also be stored in a Compact Disc in case there is a need to remove it from the hard drive.  Files in AA format can be opened with Apple iTunes in Mac Operating systems  and  with Audible AudibleManager Nero 11 RapidSolution Tunebite 9 SoundTaxi Media Suite and TuneCab in Microsoft Windows-based systems., Apple iTunes|Audible AudibleManager, https://www.reviversoft.com/file-extensions/aa
.aa3 , Sony Corporation, Audio File, The AA3 file extension is a data file format associated to Sony's ATRAC or audio compression technology. The AA3 file extension and ATRAC were developed by Sony in 1992. ATRAC stands for Adaptive Transform Acoustic Coding. These files contain the audio clips of ATRAC3 and are used for Sony-branded devices such as the Sony Walkman. They are smaller in size compared to other digital audio files which means they require lesser space in a digital player. Other formats of ATRAC3 files include OMA and OMG formats. These files can also be converted to OMG or WAV format but they do not copy protection rights. Files in AA3 format can be opened with Sony SonicStage Sony Sound Forge Pro 10 Sony Vegas Pro 11 and Sony ACID in Microsoft Windows-based systems. In 2007 Sony decided to discontinue the ATRAC file format because it failed to conquer North American and European markets., Sony ACID Xpress|Sony ACID Pro 7|Sony ACID Music Studio 8, https://www.reviversoft.com/file-extensions/aa3
.aac , N/A, Advanced Audio Coding File, AAC files contain compressed digital audio and music data stored in the Advanced Audio Coding format and these files are appended with the .aac extension. Digital audio data compression and encoding specifications are implemented into the content of an AAC file and these standards are similar to the protocols integrated into the content of MP3 files with the addition of performance optimizations deployed to maintain the overall sound quality and clarity of the audio data from the original source. These performance additions include less complex data filter banks more effective handling protocols for 16 kHz and above audio frequencies and better stationary or transient signal coding efficiency. Audio files that are embedded with Advanced Audio Coding specifications may also be stored in the M4A format which are also compressed audio files appended with the .m4a extension. These AAC encoding specifications are implemented by Apple iTunes as its default encoding standards and widely used media players like Winamp and Windows Media Player are also embedded with compatibility support and playback functionalities for these .aac files which means the content of .aac files can be viewed using these media players., Apple iTunes|Apple iTunes Producer|Nullsoft Winamp Media Player 5.6|Microsoft Windows Media Player|VideoLan VLC Media player, https://www.reviversoft.com/file-extensions/aac
.aam , Adobe Systems, Authorware Map File, The Authorware software uses AAM files as data files containing objects elements and details needed by an application (developed using the Authorware program) to run properly. A wide variety of e-learning multimedia applications can be created using the Authorware software and version 7 is used by many users of Microsoft Windows-based systems. Mac users can also install the Authorware 7 software using an installer of a version provided by Adobe Systems for Mac-based platforms. The content of these AAM files are located and retrieved by the Authorware software when required by a user when viewing the content of these e-learning applications. These may be images digital videos audio clips and details like directory locations of certain developer library files and images included in the content of an e-learning application developed using Authorware. This is why AAM files are also referred to as Authorware application map files. These e-learning applications can be distributed in CDs DVDs and on the Internet and the Authorware Web player software can be integrated into Web pages to play and view the content of these e-learning applications using a standard Web browser for Microsoft Windows and Mac and a Web browser plug-in must first be installed., Adobe Authorware 7 for Microsoft Windows|Adobe Authorware 7 for Mac, https://www.reviversoft.com/file-extensions/aam
.aax , Audible Inc., Audiobook File, The AAX file extension is a data file format associated to the Audible Enhanced Audiobook. AAX file extension and Audible Enhanced Audiobook were developed by Audible. These files are multimedia digital audiobook which include images links videos and timeline. They are considered as enhanced format of AA files. Listening to an enhanced audible audiobook would be like listening to the narrator from a recording booth. Aside from being a reading material it is also used as a supplemental material for interactive learning and widely used in children’s books. Children’s books are also known as Audible Kids which released two enhanced audiobooks namely Picture Books and Graphic Novels.  AAX files can be played by iTunes Apple iPod Microsoft Zune Creative Zen and the Amazon Kindle 2. To be able to play enhanced audiobook from supported devices it requires having an Audible account and a minimal subscription fee. Files in AAX format can be opened with Apple iTunes in Microsoft Windows-based and Mac operating systems., Apple iTunes, https://www.reviversoft.com/file-extensions/aax
.ab , Google, Android ADB Backup File," The Android SDK (Software Development Kit) program creates and accesses files appended with the .ab extension. This software has a version for Microsoft Windows-based systems and users can install another version for their Mac-based platforms. The Android Debug Bridge application is an applet integrated into the Android SDK software and this is a command-line program. The content of files in the AB format consists of references to developer libraries and other files used by Android development project output files. These AB files are backup files used to restore data associated to an Android application development project created using the Android SDK software. Google developed the Android SDK software and the AB file format. Usually AB files are not comprised of APK files which are the Android mobile applications themselves but rather just snapshots and references to other files and elements. ""adb backup -all"" is a command users can type to create an AB backup file of an Android SDK project and store it in the directory where the project is found. ""adb backup -apk -all"" on the other hand creates an AB backup file with the associated APK file in the directory where the Android SDK project is found. The ""adb restore backup.ab"" command will restore the application.", Google Android SDK|Google Android SDK for Linux, https://www.reviversoft.com/file-extensions/ab
